Date,Open,High,Low,Close
2018-06-19,1279.005,1284.05,1270.505,1274.765
2018-06-18,1277.91,1277.91,1277.91,1277.91
2018-06-17,1280.54,1280.54,1280.54,1280.54
2018-06-15,1302.46,1303.16,1275.55,1280.54
2018-06-14,1300.05,1309.355,1297.71,1302.04
2018-06-13,1295.3,1301.05,1292.755,1299.71
2018-06-12,1300.21,1300.3,1293.41,1295.985
2018-06-11,1299.3,1302.21,1294.16,1300.145
2018-06-10,1299.875,1299.875,1299.875,1299.875
2018-06-08,1297.46,1300.55,1294.21,1298.92
2018-06-07,1296.855,1302.755,1295.505,1297.125
2018-06-06,1297.005,1301.605,1294.3,1297.475
2018-06-05,1292.355,1300.505,1290.21,1296.135
2018-06-04,1293.255,1297.8,1290.505,1291.98
2018-06-03,1293.145,1293.145,1293.145,1293.145
2018-06-01,1299.05,1300.55,1291.105,1293.145
2018-05-31,1301.8,1306.46,1298.105,1298.32
2018-05-30,1299.41,1304.41,1296.05,1301.55
2018-05-29,1297.8,1305.91,1294.21,1299.005
2018-05-28,1299.275,1300.005,1295.71,1298.105
2018-05-27,1301.55,1301.55,1301.55,1301.55
2018-05-25,1304.8,1307.71,1300.005,1301.55
2018-05-24,1294.16,1306.41,1293.105,1304.875
2018-05-23,1291.355,1297.745,1288.605,1293.125
2018-05-22,1292.605,1296.105,1288.105,1291.32
2018-05-21,1291.605,1294.68,1282.21,1294.68
2018-05-18,1290.66,1294.21,1286.21,1293.15
2018-05-17,1291.005,1294.41,1285.855,1291.43
2018-05-16,1290.855,1296.91,1286.6,1290.95
2018-05-15,1314.3,1314.855,1288.71,1290.645
2018-05-14,1318.755,1322.41,1312.82,1312.82
2018-05-13,1316.85,1316.85,1316.85,1316.85
2018-05-11,1321.005,1325.96,1317.55,1318.4
2018-05-10,1312.46,1322.71,1311.05,1321.255
2018-05-09,1318.07,1318.07,1304.605,1312.625
2018-05-08,1314.41,1317.55,1306.21,1315.71
2018-05-07,1311.4,1311.4,1311.4,1311.4
