Date,Open,High,Low,Close,Adj Close
2011-11-17,77.080002,77.080002,76.879997,77.060997,77.060997
2011-11-18,76.973999,77.022003,76.560997,76.958,76.958
2011-11-21,76.849998,76.970001,76.739998,76.838997,76.838997
2011-11-22,76.93,77.279999,76.82,76.900002,76.900002
2011-11-23,76.975998,77.422997,76.919998,76.970001,76.970001
2011-11-24,77.252998,77.252998,76.989998,77.272003,77.272003
2011-11-25,77.170998,77.727997,77.160004,77.166,77.166
2011-11-28,77.667999,78.223999,77.57,77.667,77.667
2011-11-29,78.078003,78.278,77.620003,78.081001,78.081001
2011-11-30,77.969002,78.150002,77.323997,77.959999,77.959999
2011-12-01,77.563004,77.800003,77.480003,77.583,77.583
2011-12-02,77.755997,78.008003,77.720001,77.75,77.75
2011-12-05,78.089996,78.089996,77.782997,78.080002,78.080002
2011-12-06,77.800003,77.845001,77.639999,77.811996,77.811996
2011-12-07,77.739998,77.778,77.620003,77.75,77.75
2011-12-08,77.650002,77.690002,77.163002,77.672997,77.672997
2011-12-09,77.679001,77.769997,77.540001,77.68,77.68
2011-12-12,77.610001,77.987999,77.583,77.612,77.612
2011-12-13,77.926003,77.950996,77.639999,77.939003,77.939003
2011-12-14,77.970001,78.139999,77.900002,77.960999,77.960999
2011-12-15,78.099998,78.120003,77.709999,78.108002,78.108002
2011-12-16,77.815002,77.955002,77.730003,77.839996,77.839996
2011-12-19,77.809998,78.149002,77.787003,77.809998,77.809998
2011-12-20,78.003998,78.055,77.717003,78.010002,78.010002
2011-12-21,77.839996,77.934998,77.681999,77.839996,77.839996
2011-12-22,78.07,78.190002,77.994003,78.07,78.07
2011-12-23,78.160004,78.220001,77.989998,78.160004,78.160004
2011-12-26,78.080002,78.099998,77.870003,78.080002,78.080002
2011-12-27,77.987999,78.010002,77.779999,78.029999,78.029999
2011-12-28,77.865997,77.900002,77.558998,77.870003,77.870003
2011-12-29,77.93,77.93,77.669998,77.945999,77.945999
2011-12-30,77.658997,77.730003,76.953003,77.658997,77.658997
2012-01-02,77.050003,77.089996,76.870003,77.019997,77.019997
2012-01-03,76.933998,76.954002,76.653,76.93,76.93
2012-01-04,76.732002,76.814003,76.599998,76.722,76.722
2012-01-05,76.710999,77.129997,76.669998,76.709999,76.709999
2012-01-06,77.158997,77.308998,77.015999,77.151001,77.151001
2012-01-09,76.932999,77,76.759003,76.910004,76.910004
2012-01-10,76.870003,76.901001,76.760002,76.860001,76.860001
2012-01-11,76.848999,77.031998,76.847,76.849998,76.849998
2012-01-12,76.871002,76.973,76.670998,76.858002,76.858002
2012-01-13,76.779999,76.996002,76.650002,76.778999,76.778999
2012-01-16,76.919998,76.919998,76.669998,76.910004,76.910004
2012-01-17,76.809998,76.870003,76.569,76.82,76.82
2012-01-18,76.809998,76.862,76.639999,76.82,76.82
2012-01-19,76.779999,77.07,76.690002,76.766998,76.766998
2012-01-20,77.075996,77.290001,77.056999,77.080002,77.080002
2012-01-23,76.970001,77.075996,76.859001,76.959999,76.959999
2012-01-24,76.988998,77.830002,76.940002,77,77
2012-01-25,77.669998,78.279999,77.669998,77.686996,77.686996
2012-01-26,77.781998,77.802002,77.292999,77.769997,77.769997
2012-01-27,77.462997,77.462997,76.707001,77.459999,77.459999
2012-01-30,76.730003,76.773003,76.300003,76.732002,76.732002
2012-01-31,76.379997,76.410004,76.150002,76.360001,76.360001
2012-02-01,76.379997,76.410004,76.150002,76.269997,76.269997
2012-02-02,76.199997,76.199997,76.050003,76.189003,76.189003
2012-02-03,76.18,76.730003,76.129997,76.18,76.18
2012-02-06,76.550003,76.790001,76.488998,76.551003,76.551003
2012-02-07,76.550003,76.942001,76.518997,76.550003,76.550003
2012-02-08,76.766998,77.169998,76.739998,76.790001,76.790001
2012-02-09,77.056999,77.408997,77.032997,77.059998,77.059998
2012-02-10,77.652,77.809998,77.536003,77.632004,77.632004
2012-02-13,77.693001,77.775002,77.389999,77.699997,77.699997
2012-02-14,77.501999,78.440002,77.501999,77.510002,77.510002
2012-02-15,78.391998,78.629997,78.196999,78.360001,78.360001
2012-02-16,78.489998,78.926003,78.351997,78.480003,78.480003
2012-02-17,78.834999,79.379997,78.820999,78.823997,78.823997
2012-02-20,79.790001,79.790001,79.366997,79.788002,79.788002
2012-02-21,79.599998,79.839996,79.550003,79.585999,79.585999
2012-02-22,79.839996,80.367996,79.760002,79.830002,79.830002
2012-02-23,80.258003,80.334999,80.040001,80.279999,80.279999
2012-02-24,79.943001,80.771004,79.936996,79.93,79.93
2012-02-27,81.470001,81.470001,80.146004,81.471001,81.471001
2012-02-28,80.470001,80.778,80.031998,80.463997,80.463997
2012-02-29,80.480003,80.862,80.239998,80.480003,80.480003
2012-03-01,81.279999,81.32,80.859001,81.276001,81.276001
2012-03-02,81.080002,81.690002,81.080002,81.120003,81.120003
2012-03-05,81.585999,81.776001,81.160004,81.626999,81.626999
2012-03-06,81.530998,81.57,80.720001,81.517998,81.517998
2012-03-07,80.620003,80.955002,80.585999,80.660004,80.660004
2012-03-08,81.32,81.720001,81.18,81.337997,81.337997
2012-03-09,81.583,82.478996,81.477997,81.580002,81.580002
